CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
47.25.00;Commercio al dettaglio di bevande;Retail sale of beverages;Einzelhandel mit Getränken
47.26;Commercio al dettaglio di prodotti del tabacco;Retail sale of tobacco products;Einzelhandel mit Tabakwaren
47.26.0;Commercio al dettaglio di prodotti del tabacco;Retail sale of tobacco products;Einzelhandel mit Tabakwaren
47.26.01;Commercio al dettaglio di tabacco in qualsiasi forma;Retail sale of tobacco in any form;Einzelhandel mit Tabak in jeglicher Form
47.26.02;Commercio al dettaglio di sigarette elettroniche e di liquidi per inalazione per sigarette elettroniche;Retail sale of electronic cigarettes and e-liquids;Einzelhandel mit elektronischen Zigaretten und Inhalationsflüssigkeiten für elektronische Zigaretten
47.26.09;Commercio al dettaglio di altri accessori per fumatori;Retail sale of other smoking accessories;Einzelhandel mit anderen Raucherartikeln
47.27;Commercio al dettaglio di altri prodotti alimentari;Retail sale of other food;Einzelhandel mit sonstigen Nahrungs- und Genussmitteln
47.27.1;Commercio al dettaglio di latte e prodotti lattiero-caseari;Retail sale of milk and dairy products;Einzelhandel mit Milch und Milcherzeugnissen
47.27.10;Commercio al dettaglio di latte e prodotti lattiero-caseari;Retail sale of milk and dairy products;Einzelhandel mit Milch und Milcherzeugnissen
47.27.2;Commercio al dettaglio di caffè;Retail sale of coffee;Einzelhandel mit Kaffee
47.27.20;Commercio al dettaglio di caffè;Retail sale of coffee;Einzelhandel mit Kaffee
47.27.3;Commercio al dettaglio di integratori alimentari e prodotti dietetici;Retail sale of food supplements and dietetic products;Einzelhandel mit Nahrungsergänzungsmitteln und Diätprodukten
47.27.30;Commercio al dettaglio di integratori alimentari e prodotti dietetici;Retail sale of food supplements and dietetic products;Einzelhandel mit Nahrungsergänzungsmitteln und Diätprodukten
47.27.9;Commercio al dettaglio di altri prodotti alimentari n.c.a.;Retail sale of other food n.e.c.;Einzelhandel mit anderen Nahrungs- und Genussmitteln a. n. g.
47.27.90;Commercio al dettaglio di altri prodotti alimentari n.c.a.;Retail sale of other food n.e.c.;Einzelhandel mit anderen Nahrungs- und Genussmitteln a. n. g.
47.3;Commercio al dettaglio di carburanti per autotrazione;Retail sale of automotive fuel;Einzelhandel mit Motorenkraftstoffen
47.30;Commercio al dettaglio di carburanti per autotrazione;Retail sale of automotive fuel;Einzelhandel mit Motorenkraftstoffen
47.30.0;Commercio al dettaglio di carburanti per autotrazione;Retail sale of automotive fuel;Einzelhandel mit Motorenkraftstoffen
47.30.00;Commercio al dettaglio di carburanti per autotrazione;Retail sale of automotive fuel;Einzelhandel mit Motorenkraftstoffen
47.4;Commercio al dettaglio di apparecchiature informatiche e di comunicazione;Retail sale of information and communication equipment;Einzelhandel mit Geräten der Informations- und Kommunikationstechnik
47.40;Commercio al dettaglio di apparecchiature informatiche e di comunicazione;Retail sale of information and communication equipment;Einzelhandel mit Geräten der Informations- und Kommunikationstechnik
47.40.1;Commercio al dettaglio di computer, unità periferiche e software;Retail sale of computers, peripheral equipment and software;Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten, Software
47.40.10;Commercio al dettaglio di computer, unità periferiche e software;Retail sale of computers, peripheral equipment and software;Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten, Software
47.40.2;Commercio al dettaglio di apparecchiature per telecomunicazioni;Retail sale of telephone and communication equipment;Einzelhandel mit Telekommunikationsgeräten
47.40.20;Commercio al dettaglio di apparecchiature per telecomunicazioni;Retail sale of telephone and communication equipment;Einzelhandel mit Telekommunikationsgeräten
47.40.3;Commercio al dettaglio di apparecchiature radiotelevisive;Retail sale of audio and video equipment;Einzelhandel mit Hörfunk- und Fernsehgeräten
47.40.30;Commercio al dettaglio di apparecchiature radiotelevisive;Retail sale of audio and video equipment;Einzelhandel mit Hörfunk- und Fernsehgeräten
47.5;Commercio al dettaglio di altre attrezzature per uso domestico;Retail sale of other household equipment;Einzelhandel mit sonstigen Haushaltsgeräten, Textilien, Heimwerker- und Einrichtungsbedarf
47.51;Commercio al dettaglio di prodotti tessili;Retail sale of textiles;Einzelhandel mit Textilien
47.51.1;Commercio al dettaglio di tessuti per abbigliamento e arredamento;Retail sale of apparel and furnishing type fabrics;Einzelhandel mit Bekleidungs- und Heimtextilien
47.51.10;Commercio al dettaglio di tessuti per abbigliamento e arredamento;Retail sale of apparel and furnishing type fabrics;Einzelhandel mit Bekleidungs- und Heimtextilien
47.51.2;Commercio al dettaglio di filati per maglieria e merceria;Retail sale of yarn and haberdashery;Einzelhandel mit Garnen für Strick- und Kurzwaren
47.51.20;Commercio al dettaglio di filati per maglieria e merceria;Retail sale of yarn and haberdashery;Einzelhandel mit Garnen für Strick- und Kurzwaren
47.52;Commercio al dettaglio di ferramenta, materiali da costruzione, vernici e vetro;Retail sale of hardware, building materials, paints and glass;Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf
47.52.1;Commercio al dettaglio di ferramenta, vernici, vetro e materiale elettrico e termoidraulico;Retail sale of hardware, paints, glass, electrical and plumbing material and equipment;Einzelhandel mit Metallwaren, Anstrichmitteln, Flachglas, elektrischen und thermohydraulischen Materialien
47.52.10;Commercio al dettaglio di ferramenta, vernici, vetro e materiale elettrico e termoidraulico;Retail sale of hardware, paints, glass, electrical and plumbing material and equipment;Einzelhandel mit Metallwaren, Anstrichmitteln, Flachglas, elektrischen und thermohydraulischen Materialien
47.52.2;Commercio al dettaglio di articoli igienico-sanitari e per riscaldamento;Retail sale of sanitary and heating equipment;Einzelhandel mit Sanitärausstattungen und Heizungsartikeln
47.52.20;Commercio al dettaglio di articoli igienico-sanitari e per riscaldamento;Retail sale of sanitary and heating equipment;Einzelhandel mit Sanitärausstattungen und Heizungsartikeln
47.52.3;Commercio al dettaglio di altri materiali da costruzione, mattoni e piastrelle;Retail sale of other building material, bricks and tiles;Einzelhandel mit anderen Baustoffen, Ziegeln und Fliesen
47.52.31;Commercio al dettaglio di porte e finestre;Retail sale of doors and windows;Einzelhandel mit Türen und Fenstern
47.52.32;Commercio al dettaglio di altri materiali da costruzione, mattoni e piastrelle n.c.a.;Retail sale of other building material, bricks and tiles n.e.c.;Einzelhandel mit anderen Baustoffen, Ziegeln und Fliesen a. n. g.
47.52.4;Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica;Retail sale of garden and landscaping equipment;Einzelhandel mit Geräten für den Garten- und Landschaftsbau
47.52.40;Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica;Retail sale of garden and landscaping equipment;Einzelhandel mit Geräten für den Garten- und Landschaftsbau
47.53;Commercio al dettaglio di tappeti, moquette, rivestimenti per pareti e pavimenti;Retail sale of carpets, rugs, wall and floor coverings;Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten
47.53.1;Commercio al dettaglio di tappeti e tende;Retail sale of carpets, rugs and curtains;Einzelhandel mit Teppichen und Vorhängen
47.53.11;Commercio al dettaglio di tappeti e moquette;Retail sale of carpets and rugs;Einzelhandel mit Teppichen und Teppichböden
47.53.12;Commercio al dettaglio di tende;Retail trade of curtains and net curtains;Einzelhandel mit Vorhängen
47.53.2;Commercio al dettaglio di rivestimenti per pareti e pavimenti;Retail sale of wall and floor coverings;Einzelhandel mit Tapeten und Fußbodenbelägen
47.53.20;Commercio al dettaglio di rivestimenti per pareti e pavimenti;Retail sale of wall and floor coverings;Einzelhandel mit Tapeten und Fußbodenbelägen
47.54;Commercio al dettaglio di elettrodomestici;Retail sale of electrical household appliances;Einzelhandel mit elektrischen Haushaltsgeräten
47.54.0;Commercio al dettaglio di elettrodomestici;Retail sale of electrical household appliances;Einzelhandel mit elektrischen Haushaltsgeräten
47.54.00;Commercio al dettaglio di elettrodomestici;Retail sale of electrical household appliances;Einzelhandel mit elektrischen Haushaltsgeräten
47.55;Commercio al dettaglio di mobili, di articoli per l'illuminazione, articoli per la tavola e altri articoli per la casa;Retail sale of furniture, lighting equipment, tableware and other household goods;Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat
47.55.1;Commercio al dettaglio di mobili per la casa;Retail sale of household furniture;Einzelhandel mit Wohnmöbeln
47.55.10;Commercio al dettaglio di mobili per la casa;Retail sale of household furniture;Einzelhandel mit Wohnmöbeln
47.55.2;Commercio al dettaglio di altri mobili;Retail sale of other furniture;Einzelhandel mit sonstigen Möbeln
47.55.20;Commercio al dettaglio di altri mobili;Retail sale of other furniture;Einzelhandel mit sonstigen Möbeln
47.55.3;Commercio al dettaglio di articoli per l'illuminazione;Retail sale of lighting equipment;Einzelhandel mit Beleuchtungsartikeln
47.55.30;Commercio al dettaglio di articoli per l'illuminazione;Retail sale of lighting equipment;Einzelhandel mit Beleuchtungsartikeln
47.55.4;Commercio al dettaglio di articoli per la tavola e la cucina;Retail sale of tableware and kitchenware;Einzelhandel mit Artikel für die Tafel und die Küche
47.55.40;Commercio al dettaglio di articoli per la tavola e la cucina;Retail sale of tableware and kitchenware;Einzelhandel mit Artikel für die Tafel und die Küche
47.55.9;Commercio al dettaglio di attrezzature per bambini e altri articoli per la casa;Retail sale of baby equipment and other household goods;Einzelhandel mit Kinderausstattungen und anderen Haushaltsartikeln
47.55.90;Commercio al dettaglio di attrezzature per bambini e altri articoli per la casa;Retail sale of baby equipment and other household goods;Einzelhandel mit Kinderausstattungen und anderen Haushaltsartikeln
47.6;Commercio al dettaglio di articoli culturali e ricreativi;Retail sale of cultural and recreation goods;Einzelhandel mit Verlagsprodukten, Sportausrüstungen und Spielwaren
47.61;Commercio al dettaglio di libri;Retail sale of books;Einzelhandel mit Büchern
47.61.0;Commercio al dettaglio di libri;Retail sale of books;Einzelhandel mit Büchern
47.61.00;Commercio al dettaglio di libri;Retail sale of books;Einzelhandel mit Büchern
47.62;Commercio al dettaglio di giornali, altre pubblicazioni periodiche e articoli di cancelleria;Retail sale of newspapers, and other periodical publications and stationery;Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf
47.62.1;Commercio al dettaglio di giornali e altre pubblicazioni periodiche;Retail sale of newspapers, and other periodical publications;Einzelhandel mit Zeitungen und Zeitschriften
47.62.10;Commercio al dettaglio di giornali e altre pubblicazioni periodiche;Retail sale of newspapers, and other periodical publications;Einzelhandel mit Zeitungen und Zeitschriften
47.62.2;Commercio al dettaglio di articoli di cancelleria;Retail sale of stationery;Einzelhandel mit Schreibwaren und Bürobedarf
47.62.20;Commercio al dettaglio di articoli di cancelleria;Retail sale of stationery;Einzelhandel mit Schreibwaren und Bürobedarf
47.63;Commercio al dettaglio di attrezzature sportive;Retail sale of sporting equipment;Einzelhandel mit Fahrrädern, Sport- und Campingartikeln
47.63.1;Commercio al dettaglio di imbarcazioni;Retail sale of boats;Einzelhandel mit Booten und Yachten
47.63.10;Commercio al dettaglio di imbarcazioni;Retail sale of boats;Einzelhandel mit Booten und Yachten
47.63.2;Commercio al dettaglio di biciclette e altre attrezzature sportive;Retail of bicycles and other sporting equipment;Einzelhandel mit Fahrrädern und anderen Sportausrüstungen
47.63.21;Commercio al dettaglio di biciclette;Retail of bicycles;Einzelhandel mit Fahrrädern
47.63.29;Commercio al dettaglio di altre attrezzature sportive;Retail of other sporting equipment;Einzelhandel mit anderen Sportausrüstungen
47.64;Commercio al dettaglio di giochi e giocattoli;Retail sale of games and toys;Einzelhandel mit Spielwaren
47.64.0;Commercio al dettaglio di giochi e giocattoli;Retail sale of games and toys;Einzelhandel mit Spielwaren
47.64.00;Commercio al dettaglio di giochi e giocattoli;Retail sale of games and toys;Einzelhandel mit Spielwaren
47.69;Commercio al dettaglio di articoli culturali e ricreativi n.c.a.;Retail sale of cultural and recreational goods n.e.c.;Einzelhandel mit Kunst- und Kulturerzeugnissen a. n. g.
47.69.1;Commercio al dettaglio di supporti registrati e strumenti musicali;Retail sale of recorded media and musical instruments;Einzelhandel mit bespielten Ton-, Bild- und Datenträgern und Musikinstrumenten
47.69.11;Commercio al dettaglio di supporti registrati;Retail sale of recorded media;Einzelhandel mit bespielten Ton-, Bild- und Datenträgern
47.69.12;Commercio al dettaglio di strumenti musicali;Retail sale of musical instruments;Einzelhandel mit Musikinstrumenten
47.69.2;Commercio al dettaglio di articoli di filatelia, numismatica e da collezionismo;Retail sale of philately, numismatics and collectors' items;Einzelhandel mit Briefmarken, Münzen und Sammlergegenständen
47.69.20;Commercio al dettaglio di articoli di filatelia, numismatica e da collezionismo;Retail sale of philately, numismatics and collectors' items;Einzelhandel mit Briefmarken, Münzen und Sammlergegenständen
47.69.3;Commercio al dettaglio di articoli per disegno, pittura e scultura;Retail sale of art supplies;Einzelhandel mit Zeichen-, Mal- und Bildhauerei-Artikeln
